Sex,Age,2008Q3,2009Q3,2010Q3,2011Q3,2012Q3,2013Q3,2014Q3,2015Q3,2016Q3,2017Q3,2018Q3,2019Q3
Women,82 years,14402,14220,14007,13886,13716,13859,13993,14097,14578,15241,15600,16469
Women,83 years,13858,13488,13299,13112,12989,12823,13053,13164,13275,13712,14332,14734
Women,84 years,12861,12877,12535,12310,12193,12092,11996,12177,12278,12451,12870,13479
Women,85 years,11540,11801,11865,11575,11436,11276,11222,11060,11346,11368,11529,11983
Women,86 years,11028,10497,10763,10857,10623,10503,10398,10353,10153,10437,10459,10621
Women,87 years,9891,9871,9457,9702,9797,9654,9654,9469,9385,9219,9495,9520
Women,88 years,9039,8738,8770,8417,8716,8730,8656,8655,8502,8445,8229,8505
Women,89 years,6655,7896,7685,7753,7430,7696,7737,7668,7698,7544,7476,7269
Women,90 years,5920,5665,6835,6619,6760,6424,6753,6746,6704,6726,6479,6523
Women,91 years,4954,4980,4777,5785,5695,5661,5549,5725,5798,5646,5710,5549
Women,92 years,4117,4090,4164,3942,4849,4768,4737,4633,4838,4899,4776,4797
Women,93 years,3251,3326,3335,3407,3187,3931,3969,3858,3794,3947,3994,3963
Women,94 years,2693,2551,2629,2674,2676,2550,3186,3168,3024,3025,3168,3187
Women,95 years,1948,2010,2010,2073,2086,2030,2033,2446,2482,2360,2331,2478
Women,96 years,1447,1443,1531,1487,1570,1590,1565,1524,1842,1871,1748,1758
Women,97 years,973,1046,1038,1098,1071,1135,1217,1129,1129,1379,1358,1280
Women,98 years,756,688,750,733,779,749,851,878,827,820,973,974
Women,99 years,451,498,476,537,527,530,516,583,615,574,551,669
Women,100 years,313,312,336,301,352,345,366,342,408,389,373,362
Women,101 years,146,203,183,206,189,215,233,223,218,260,242,236
Women,102 years,102,76,126,117,132,114,130,148,140,121,153,129
Women,103 years,57,66,55,70,63,73,72,70,81,83,72,94
Women,104 years,34,35,37,29,39,37,46,42,42,46,53,42
Women,105 years,15,20,18,18,15,19,19,23,24,21,24,32
